Nome	nif	concelho	contacto
Randy Lopez	296379264	Vila do Conde	993574487
Charles Austin	277257539	Aveiro	964626965
Dana King	275307729	Montijo	948339057
Dana Sosa	222781137	Oliveira de Azemeis	996546374
Brandon Rodriguez	210960515	evora	998978520
Melissa Rodriguez	285386160	Peniche	930194452
Austin Ellis	258479833	Barcelos	988600727
David Howard	270498655	Coimbra	972026163
Donna Taylor	288378042	Almeirim	943494358
Janice Rivera	264773069	Amadora	959678410
Gabriel Huffman	289707307	Santa Maria da Feira	952271665
Sara Santiago	236855523	Valongo	951737929
Amy Simon	216391989	Lagoa	975223280
Elizabeth Hess	210857041	Santiago do Cacem	966988535
Thomas Ryan	229868078	Cantanhede	992683784
Drew Rogers	211349848	Oliveira de Azemeis	927642444
Melissa Rodriguez	288131909	Vila Nova de Foz Coa	974662144
Colleen Kramer	274190390	Canico	941259601
Gloria Vaughn	203571403	Vila Nova de Famalicao	951260237
Christopher Carter	204434003	Faro	920392774
Scott Peters	262630626	Gouveia	943729358
Katherine Garcia	244492522	Portimao	946060861
Jack Blankenship	244878253	Sao Pedro do Sul	971485456
Joe Simpson	224149202	Marinha Grande	981863269
Jason Romero	283162756	Vila Real de Santo Antonio	950644901
Peggy Diaz	210909054	Fafe	991031843
Jennifer Hart	288432278	Valpacos	903766541
Margaret Smith	286739143	Ourem	920772776
Timothy Bennett	248612953	Moura	904892193
Charles Parrish	214790211	Praia da Vitoria	925082328
Heather Bennett	287894730	Barcelos	923695515
Janet Shea	295986078	Camara de Lobos	919411714
Ryan Cruz	287699679	Fundao	967692421
Anne Robertson	274436427	agueda	955552137
Nicole Miller	207932230	Tondela	986054031
Teresa Carpenter	235766372	Sao Joao da Madeira	928343215
Debra Andrews	243427231	Miranda do Douro / Miranda de l Douro	912442343
Patrick Johnston	252018458	Estremoz	976569504
Michelle Santiago	229708718	Santo Tirso	989849082
David Villegas	268845943	Lagoa	992248877
Raven Myers	225369554	Porto	904172350
April Brown	271553010	Lagoa	946159160
Mark Blackwell	297995822	Vila Nova de Foz Coa	919604288
Ann Owen	261719911	Lisboa	902129468
Courtney Johnson	231056100	Felgueiras	924086467
Thomas Walter	226966411	Entroncamento	920495307
Benjamin Bailey	268496077	Fatima	998333688
Monica Washington	269152073	Albergaria-a-Velha	968777987
Pamela Taylor	272212087	Reguengos de Monsaraz	977613679
Ashley Downs	291046276	Chaves	973919722
Patrick Simon	230341219	Beja	939418007
Daniel Robles	247923236	Povoa de Varzim	946031816
Carrie Thompson	207367814	Viseu	907579682
Danielle Henderson	233851438	Fundao	957161695
Andrew Chavez	257301723	Lamego	972894406
David Guerra MD	278384619	Elvas	933264766
Steven Reese	279537578	Tondela	924025189
Ashley Hernandez	265841684	Mealhada	997240520
Pamela Flowers	211160521	Santarem	921175324
Mr. Brandon Gonzalez	255766591	Povoa de Santa Iria	998668001
Jeffrey Scott	202378596	Sines	937659859
Crystal Hodge	223700656	Lourosa	903563931
Debbie Malone	279091790	ilhavo	955793359
Jorge Ayala	266386494	Figueira da Foz	925451662
Miss Allison Harper	214237011	Trofa	943524581
Jessica Rodriguez	200034379	Serpa	998455731
Suzanne Dominguez	250797209	Cantanhede	958027568
Amber Jimenez	299825534	Braganca	967548704
Noah Waters	240855205	Guimaraes	921005192
Brandon Smith	278380393	Covilha	952520364
Ronald Levine	286318417	Portimao	943683199
Tony Shaw	250608998	Senhora da Hora	973696904
Micheal Herrera	206378183	Estremoz	933548818
Ryan Nixon	239275446	Amarante	994765285
April Rogers	201375571	Rio maior	916949642
Christian Waller	232038870	Vizela	952167486
Melanie Santos	274869497	Lourosa	985230208
Ashley Wilson	295672634	Ponte de Sor	984910847
Leslie Sosa	249984674	Estremoz	973671844
Melissa Wilson	285520449	Gondomar	902259040
Billy Williams	266652374	Alfena	967192969
Pamela Boone	272635583	Vale de Cambra	981239856
Joseph Stewart	257145228	Moura	927111349
Jimmy Macdonald	296688012	Coimbra	996607856
Ms. Cynthia Lyons	219702648	Santo Tirso	960257619
Dustin Chan	223337974	Tomar	966520830
David Mcmillan	284139434	Agualva-Cacem	971423652
Courtney White	218311579	Povoa de Varzim	982279631
Rodney Olson	296444036	Faro	989778561
Joseph Russell	291676866	Sao Pedro do Sul	996658236
Cassandra Johnson	249400902	Meda	978053664
Paula Snyder	238487825	Viana do Castelo	909703176
Grace Jackson	274620788	Serpa	970690991
Alvin Gutierrez	219653073	Seia	946383966
Mary Cook	259084943	Lamego	921400960
Jessica Mitchell	290591771	Alfena	937946972
Linda Wilson	248509384	Esposende	956921356
Ernest Estes	240429660	Montijo	907334727
Paul Campbell	229426190	Elvas	933060632
Adrian Gonzalez	282868395	Covilha	911473765
Cassidy Ortiz	231655361	Portalegre	969208071
Karen Williams	221507683	Santa Comba Dao	926850054
Jimmy Johnson	214203654	Torres Novas	907520742
Melissa Arnold	201872688	Anadia	909579398
Steven Walls	264160224	Ovar	984951940
Sheila Huff	232969535	Barreiro	965173780
Beverly Livingston	217644716	Braga	917760867
Rachel Lewis	284412829	Gafanha da Nazare	975605255
Tara Holmes MD	279641603	Lamego	901638372
Jacob Phillips	216570584	ilhavo	908958109
Julia Daugherty	240897045	Barcelos	919341318
Joel Garrett	210730898	Vendas Novas	953742437
Mrs. Madison Booth	219297928	evora	989762922
Abigail Adams	248075301	Aveiro	973837629
Jeffrey York	244156284	Espinho	986604000
Terry Duffy	244125562	Gouveia	924645650
William Griffith	295776369	Viana do Castelo	990786019
Brian Jimenez	229060964	Santo Tirso	934945129
Kristen Lewis	284580021	Montijo	925689236
Daniel Zhang	260921016	Meda	976126412
Amanda Mccarthy	238338642	Felgueiras	939442063
Kyle Rodriguez III	226667035	Vale de Cambra	975008299
Crystal Vance	261437178	Vila Real	955184252
Kathryn Ray MD	248679839	Camara de Lobos	901078610
Stephanie Warren	256746096	Vila Nova de Foz Coa	935829464
Frederick Mccarty	221380579	Lourosa	906565106
Jesus Brady	276732880	Sines	924906041
Hailey Harrell	260665968	Elvas	966699392
Robert Maldonado	297040696	Mirandela	971775850
Tiffany Day	222140573	Beja	966168508
Kevin Marshall	232585281	Porto	913024157
Eric Graves	210928279	Portimao	908216803
Heather Bowen	217326024	Tondela	985931323
Lori Bernard	216703713	Canico	938788397
Troy Duncan	256640613	Macedo de Cavaleiros	900279651
Adam Zavala	211315704	Almada	961603860
Dawn Russell	246378591	Albufeira	924444075
Megan Nielsen	288633464	Santa Comba Dao	941077253
Jill Aguilar	254528885	Oliveira do Bairro	956438470
Frederick Harper	202090063	Albergaria-a-Velha	947158033
Emma Jenkins	240665681	Queluz	937821135
Aaron Rios	270462107	Odivelas	936968420
Cathy Burgess	276713989	Faro	966536404
Shane Brown	230454797	Sabugal	949624458
Timothy Smith	243793243	Lourosa	900925576
Lydia Tucker DDS	280328712	Ponta Delgada	900505480
Derrick Chandler	254333238	Agualva-Cacem	964242618
James Jones	204916363	Horta	947062561
Jonathan Johnson	234058598	Esmoriz	909063220
Alexander Lindsey	245225154	Matosinhos	991375357
Tristan Moss	263557561	Sao Joao da Madeira	911597628
Ashley Romero	252521459	Viseu	955879573
Audrey Jackson	221682492	Viseu	955988144
Mr. John Bass	252124511	Guimaraes	982961036
Deborah Fritz	299836344	Samora Correia	977617987
Kevin Benson	228584576	Covilha	932637580
Chad Rodriguez	276053465	Rio maior	998917870
Todd Valenzuela	244736546	Ribeira Grande	953929393
Cheryl Robinson	234401873	Vila Baleira	935160430
David Collins	272726830	Samora Correia	945666749
Kara Ritter	239484364	Pombal	953179888
Michael King	244223832	Silves	912555388
Kimberly Buck	290322081	Leiria	903353655
Kara Bradford	214683203	Aveiro	943496520
Scott Johnson	287695970	Valpacos	976771538
Dylan Lane	268968115	Rio Tinto	982969354
Joann Stephens	252200113	Lamego	974903128
Jose Mathews MD	240283075	Santo Tirso	946176891
Susan Ford	221420702	Tarouca	944533042
Amy Brown	275420669	Trancoso	909659600
Philip Williams	222178228	Alverca do Ribatejo	910407983
John Campos	287041192	Fatima	973296105
Benjamin King	227894491	Gouveia	964958199
Christine Clark	212730740	Loures	945627963
Bradley Lee	272813036	Vila Nova de Gaia	932978913
James Stone	231465132	Samora Correia	985145582
Brandon Parker	266838618	Olhao da Restauracao	931192460
Paul Allen	222773590	Castelo Branco	970414093
Adam Stevens	295169893	Valongo	919104470
Cynthia Stewart	292981118	Torres Novas	977949815
Stephen Schroeder	213407303	Sao Pedro do Sul	928229081
Laura Cain	272407241	Setubal	939623822
Donna Knight	233421033	Borba	979804472
Donna Roth	226514761	Moura	980489847
Jason Hernandez	238107082	Tavira	923428856
Micheal Dunlap	251332648	Fatima	934569275
Robert Nunez	233894473	Trofa	969106686
Daniel Caldwell	256595101	Trancoso	991719548
Cheryl Chapman	203768665	Macedo de Cavaleiros	977102670
Hannah Burke	279853574	Miranda do Douro / Miranda de l Douro	944601356
Sheila Patterson	213451073	Albufeira	992522805
Zachary Roach	223582598	Marinha Grande	915418880
Amy Foster	266565540	Vendas Novas	957324767
Austin Spencer	268063193	Alcobaca	928244922
Roger Sanders	249051866	Torres Novas	972035728
Christopher Morgan	277013812	Rio Tinto	922778578
Briana Cole	210172993	Elvas	962111441
Philip Russell	207925834	Espinho	936617778
Ronnie Estes	257620631	Seia	902062739
Allison Mcintyre	245342965	Funchal	958218251
Melanie Robertson	242950723	Tarouca	976210330
Ryan Peters	231869321	Lagoa	954158635
Jerry Wright	281833604	Felgueiras	994660444
Felicia Lewis DDS	299256314	Loures	910232052
Travis Sharp	225122671	Viana do Castelo	964358302
Daniel Cox	266130048	Vila Baleira	921864328
Spencer Smith	210162235	Valongo	995730207
Eduardo Ford	224687672	Fatima	907059806
Antonio Holloway	203583165	Trancoso	918162123
Rachel Townsend	244740157	Porto	970151763
Ashley Hinton	248089523	Olhao da Restauracao	997668525
Natalie Davis	282986238	Vila Nova de Foz Coa	942656755
Kelly Wade	253650336	Trancoso	971468074
Jeffrey Randall	263305634	Vila Nova de Gaia	994882643
Caleb Nunez	288747408	Fiaes	900569864
Jessica Bailey	208173720	Sabugal	907356126
Megan Martin	245741320	Covilha	934232050
Deanna Fuller	273976513	evora	937506249
Philip Lewis	215084954	Seixal	907366642
Leslie Wood	247831933	Barcelos	964588260
Michael Wells	272280893	Viseu	944091280
Frank Anderson	210512080	Abrantes	930824404
Kelly Peters	268937996	Sao Joao da Madeira	978296629
Thomas Clayton	296872210	Viana do Castelo	972769512
Jason Snyder	227966214	Fundao	997419984
Louis Torres	286769112	Chaves	969145113
Patricia Thomas	244275193	Beja	932071678
Juan Peck	214298620	Valongo	941730983
Allison Henry	254795410	Chaves	927553692
James Townsend	264921029	Torres Vedras	991937039
Melissa Reed	244615612	Tarouca	997086453
David Vega	208370256	Angra do Heroismo	978699460
Daisy Baker	200687189	Santarem	944805325
Samantha Brown	269254834	Praia da Vitoria	914149198
Adam Soto	259740256	Fafe	943189193
Dustin Patterson	256075096	evora	919844720
Heather Adams	229347365	Sines	997342445
Rebecca Griffin	224475085	Albufeira	981734966
Jeffrey Newman	288779294	Povoa de Varzim	954016114
Allen Palmer	270696099	Valongo	932852630
William Collins	211939566	Torres Novas	997336113
Lisa Campbell	234510865	Ovar	983469213
Kathryn Cox	222099271	Funchal	915783999
Johnny Pope	287823970	Leiria	924621269
Zachary Ferguson	292121744	Valpacos	978307671
Barbara Castro	256751979	Vila Real de Santo Antonio	955853635
Ethan Yu	208130547	Silves	963670818
Antonio Bridges	296082410	Silves	911275944
Ms. Gina Johnson DVM	254380132	Peniche	956730577
Susan Figueroa	280209922	Oliveira do Bairro	941192039
Darlene Collins	251363371	Estarreja	985342772
Brandy Cordova	228697427	Gouveia	940562106
Lindsay Adkins	241125650	Entroncamento	906966570
Scott Avery	209922576	Sao Joao da Madeira	987167517
Ruben Dixon	234410624	Senhora da Hora	911536816
Kurt Kramer	298112945	Valbom	972538006
Jennifer Grant	262671647	Vila Nova de Santo Andre	923110818
Kimberly Byrd	253695567	Seixal	917210771
Holly Barron	234434814	Barcelos	941649003
Zachary Washington	265192502	Sacavem	943370782
Randall Salinas	272180005	Setubal	984219872
Samuel Shaw	265537032	Olhao da Restauracao	979243104
Michael Walton	257865450	Sao Pedro do Sul	915558489
Sheila Johnson	268527487	Ribeira Grande	990673177
Michael Graham	269105390	Sacavem	948447153
Glen Mathews	208752192	Felgueiras	917793898
Robert Webb	277238532	Vila Nova de Foz Coa	900204452
Amber Schmitt	299733049	Anadia	987072272
Beth Smith	238438270	Pombal	900861699
Ashley Chavez	263264405	Fafe	988466490
Cindy Blackburn	234992525	Torres Vedras	900545646
Jamie Mcgee	201851386	Aveiro	983482532
Adam Miller	223785940	Viana do Castelo	976137060
Donna Gibson	235528846	Alfena	918985531
Richard Erickson	263264354	Loures	913301230
Melissa Wilson	250912627	Alcobaca	902839972
Dennis Collins MD	259978723	Alcacer do Sal	974437904
Jesus Erickson	254537065	Macedo de Cavaleiros	964618303
Courtney Espinoza	238543696	Oliveira de Azemeis	925981860
Anthony Gomez	258846068	Estarreja	944121362
Joshua Larson	208181116	Fatima	990261529
Jeffrey Richardson	205796124	Sabugal	935487983
Sandra Sherman	253783046	Estremoz	971230048
Brian Matthews	234705340	Barreiro	923074958
Sierra Salazar	273071681	Viseu	982829136
Elizabeth Cordova	263973303	Rebordosa	940880892
Carolyn Edwards	294625403	Rio Tinto	967301344
Zachary Morris	275558943	Loule	918754347
Holly Ramirez	247935102	Machico	973598565
Donna Bailey	261036650	Meda	971771251
Kyle Henry	214078779	Vila Nova de Foz Coa	937399382
Sarah Pratt	231696835	Seia	956188882
Veronica Douglas	276734535	Felgueiras	932806046
Jacob Floyd	297239598	Rebordosa	963355129
Justin Huff Jr.	230701855	Peso da Regua	987649135
Mark Hoover	282971816	Faro	900306238
Leslie Smith	269265737	Alcacer do Sal	976398312
Michael Garcia	293156036	Peniche	935724375
Logan Thompson	292926165	Esposende	981501699
David Mercado	220424768	Lagoa	948127216
Ashley Ford	245284107	Rio maior	970108845
Gina Olson	245889829	Senhora da Hora	916674773
Kathleen Murphy	245768526	Sao Salvador de Lordelo	917163260
Jose Cook	279679418	Tondela	926858878
Judy Rodriguez	235658756	Oliveira do Bairro	934455346
Kathryn Wolf DDS	206699539	Almeirim	910609962
Marcus Morgan	233636978	Ponte de Sor	901376833
Trevor Brown	250254418	Mirandela	987112258
Michael Barajas	234671242	Amora	933571099
Michael Owens	272830009	Lagos	978785529
Carol Johnson	268179706	Trancoso	933965981
Anthony Daniels	278361694	Amadora	990862339
Lisa Clarke	214682656	Valbom	976468958
Brian Ruiz	265985206	Gandra	959357946
Sierra Chandler	264905609	Marinha Grande	907882478
Chelsey Bennett	223155184	Setubal	967140042
Dawn Jones	288080033	Odivelas	916681320
Edward Schmidt	277775690	Torres Vedras	995437867
Ricky Baxter	220672607	Valenca	953397081
Jerry Key	247397898	Guimaraes	954362748
William Frank	289725245	Fiaes	941478690
Tracy Park	224561365	Serpa	933828248
Jeremy Banks	271329000	Horta	954948758
Jeffrey Castillo	218109086	Vizela	963957653
Amy Parker	237035021	Santiago do Cacem	945941466
Ricky Long	250257432	Vila Nova de Santo Andre	960409940
Carol Mcclure	291561158	Braganca	954471034
Marie Wilson	287356434	Lagos	908764677
Cheyenne Knight	251216721	Fafe	995170802
Adam Krueger	265196507	Entroncamento	982811140
Christie Berry	291435399	Esposende	909898231
Michael Greene	223116707	Valenca	929828275
Ashley Roberson	218655667	Lagoa	983388803
Shelly Edwards	273970512	agueda	967877642
Deborah Krause	248066332	Cantanhede	911448927
Christine Parker	269934216	Elvas	932214897
Jeffery Alexander	265667173	Viana do Castelo	909294085
Karen Smith	201109297	Aveiro	993788155
Vanessa Sutton	245350765	evora	915433078
Rebecca Atkinson	266227324	Vila Nova de Foz Coa	922520300
Amanda Holt	280611213	Tarouca	936424250
Jane Johnson	268677591	Chaves	908889843
Robert Rogers	290545736	Almada	917143001
Taylor Horn	277004149	Gondomar	906953550
Timothy Clark	283324738	Espinho	989513680
Caitlin Ellis	278082950	Cartaxo	923954171
Danielle Cooper	269720197	Almeirim	951676908
Thomas Moran	204597612	Santa Comba Dao	978702475
Harry Thompson	270001918	Penafiel	996502439
Michelle Farrell	248619325	Mealhada	907111183
James Rodriguez	240995455	Lamego	975194445
Emily Chavez	214336940	Sao Pedro do Sul	955551821
Elizabeth Norton	223573514	Olhao da Restauracao	981774596
Sherry Wright	226722472	Estarreja	974422946
Loretta Guerrero	294452273	Gafanha da Nazare	942699039
Jonathan Moore Jr.	211260742	Braga	951039116
Joe Anderson	291007210	Sacavem	978227848
Laura Tyler	254998292	Ponta Delgada	970670827
Kimberly West	204140117	Sao Salvador de Lordelo	981537868
Javier Nelson	260410301	Braganca	949954362
Joseph Dean	257685227	Rio Tinto	970387601
David Garcia	235307500	Lagoa	957547588
Lauren Smith	253942124	Estremoz	933038686
Christopher Ray	230914329	agueda	984623754
Kelly Oconnor	242052192	Barcelos	911113114
Claire Allison	291829417	Tavira	946423840
Gerald Torres	252877563	Torres Vedras	988795751
Logan Fowler	208807902	Lamego	962379410
Thomas Mitchell	221003164	Fiaes	941907452
David Knox	283702533	Felgueiras	987252595
Brittany Nielsen	274379511	Oliveira do Bairro	956479013
Mr. Adam Bryan	277800626	Odivelas	991892468
Meghan Ortiz	268871685	Silves	998952065
Brianna Warren DVM	211420977	Porto	947407616
William Lyons	266331978	Povoa de Varzim	999630065
Tasha Morris	217167785	Ponta Delgada	938666984
Deborah Walker	200504359	Fafe	912264297
Victoria Pugh	203365231	Moura	964589827
Victoria Wiggins	252364480	Peniche	909205679
Leslie White	238835738	Fiaes	959075736
Lisa Hall	287814694	Albergaria-a-Velha	941698660
Paula Carpenter	281724206	Vale de Cambra	928008505
Mark Silva	227218402	Sao Mamede de Infesta	974778201
Donald Gates	284521065	Vila Real	914602101
Ryan Holloway	203966907	Guarda	971044420
James Clark	256123953	Costa da Caparica	929851914
Daniel Ryan	269853893	Espinho	986960081
Kelly Riley	248573599	Braga	926560102
Lauren Monroe	237745130	Samora Correia	972397097
Barbara Johnson	271347027	Rebordosa	985870424
Larry Johnson	292361138	Guimaraes	911589378
David Santiago	241176474	Gafanha da Nazare	952716799
Elizabeth Graham	242911344	Barcelos	997842336
Albert Ward	202406327	Silves	964497285
Kristen Davenport	211495061	Miranda do Douro / Miranda de l Douro	938838244
Andrea Smith	280072628	Angra do Heroismo	934348478
Dr. Chris Rivera	251778628	Valpacos	986854089
Cody Benitez	223479684	Braganca	936006702
Amy Brown	238157943	Abrantes	932832539
Amy May	294018565	Vila Nova de Gaia	986723335
Lori Bates	282298114	Coimbra	937568552
Jill Blake	233944279	Rio Tinto	936457943
Matthew Adams	272886085	Vila Nova de Santo Andre	983059385
Jessica Bradley	202654037	Santa Cruz	985638775
Lisa Hudson	260716496	Santa Comba Dao	993612049
Laura Jimenez	257553411	Sacavem	913089799
Marie Reyes	229971025	Covilha	968291453
Samantha Moore	223324802	Ribeira Grande	901192945
Christopher Nguyen	226851800	Cartaxo	905603305
Shannon Daugherty	246750598	Vila Nova de Gaia	991535223
Thomas Kim	295469970	Ponte de Sor	988742386
Amanda Pittman	228763498	Camara de Lobos	926987797
Robert Baker	207613573	Vila Real de Santo Antonio	916318195
Joseph Bonilla	248208383	Horta	978828964
Bradley Lambert	275167131	Trancoso	970471161
Monica Woods	252555745	Porto	986167535
Louis Johnson	246760241	Amora	996324917
Amanda Rogers	207967749	Espinho	985265622
Vanessa Ellis	251979073	Vila Real	934871246
Amy Curtis	247595774	Abrantes	956100482
Craig Webster	209521805	Matosinhos	913183362
Kimberly Wagner	206879298	Gafanha da Nazare	995662337
Jacob Dixon	270808832	Agualva-Cacem	915743973
Timothy Smith	238103636	Santa Comba Dao	999045184
Keith Wells	212272555	Sao Salvador de Lordelo	977086519
Tyler Smith	261609650	Vale de Cambra	949809282
Angela Brown	266253286	Gondomar	963944773
Dawn Humphrey	282057765	Lixa	911026359
Whitney Frederick	239310619	Fatima	902160558
Brenda Cole	216722501	Oliveira do Hospital	988866544
Melissa Page	281013410	Costa da Caparica	903063677
Kathryn Olson	213991009	Oliveira de Azemeis	916698365
Rebecca Moore	256332417	Alcobaca	983015923
Anita Juarez	235193661	Vila Nova de Famalicao	998239920
Steven Daniels	291496006	Figueira da Foz	985590848
Linda Bridges	259229414	Cantanhede	942062070
Angela Graham	275824454	Lamego	902693915
Erica Price	293007202	Valongo	910140805
Katrina Cabrera	289693638	Funchal	927263783
Tracy Townsend	204255448	Lagoa	932969281
Rebecca Stewart	299611989	Santa Cruz	934450427
John Welch	208754488	Figueira da Foz	925380442
Angel Myers	227622390	Albufeira	961292366
Theresa Cunningham	220406550	Sao Mamede de Infesta	959367734
Dana Robinson	275483618	Coimbra	988558354
Arthur Marsh	221131800	Maia	980163888
Kayla Lara	284252823	Peso da Regua	910522210
Mallory Chavez	232792222	Santa Comba Dao	902103299
Bianca Jones	230360460	Povoa de Santa Iria	997718089
Daniel Davis	283491868	Ovar	998691851
Joshua Richardson	283791504	Barcelos	966462310
Kurt Elliott	289295438	evora	954045935
Christopher Vaughan	261003753	Cantanhede	993316907
Loretta Young	213779506	Santiago do Cacem	978663175
Audrey Jordan	279714380	Machico	985999245
Stephanie Chavez	252810943	Sacavem	947363473
Katrina Choi	298365801	Loule	942199070
Michael Lee	262978184	Torres Novas	964702697
Susan Simmons	232500349	Guimaraes	916960385
Mark Klein	288600763	Freamunde	907336345
Catherine Collins MD	209955618	Sabugal	999818282
Natalie Robertson	224156880	Braga	957751743
Joann Mason	294274554	Vila Nova de Famalicao	981954473
Isabella Roberts	206035735	Gandra	976027757
Stephanie Saunders	282078608	Portalegre	902705466
Lonnie Smith	206285534	Guarda	952572510
Collin Hunter	223423707	Abrantes	959503907
Adam Gibson	292142557	Ourem	938588117
Robyn Palmer	259053353	Sao Salvador de Lordelo	903986005
Brandon Shepherd	227250057	Covilha	954782348
Judith Mcdowell	232178555	Mangualde	916929526
Ashley Price	260697920	Gandra	973414750
Manuel Maddox	268631594	Peso da Regua	943414238
Chelsea Espinoza	237831738	Seia	979292271
David Zamora	225049836	Vendas Novas	971833016
Robin Wilson	202091539	Gandra	996899476
April Lambert	226584461	Guarda	999748688
Teresa Carson	284236556	Lisboa	944275663
Erin Maxwell	226840564	Borba	992648093
Robin Davis	279343200	Alcacer do Sal	984742255
Amber Cisneros	214232576	Vila Nova de Santo Andre	903362313
Daniel Kim	264903779	Fatima	933972151
Teresa Wood	249951798	Amarante	955438696
Carlos Walker	257961780	Santiago do Cacem	942700905
Crystal Smith	260858501	Fiaes	901622861
Mark Elliott DDS	250584551	Ourem	933580479
Scott Webb	206094804	Lagos	969782665
Benjamin Hicks	272945596	Fatima	935187503
Linda Mcmillan	253931462	Braga	915769833
Angela Sanchez	221339251	Santiago do Cacem	970068677
Erica Thornton	229590870	Alcobaca	984377361
Brian Garza	228190938	Costa da Caparica	933233794
Christopher Thomas	289307841	Matosinhos	989945139
Angela Parks	276897234	Amadora	965061990
Bryan Moran	268339316	Fiaes	953278098
Timothy Powell	253049974	Coimbra	952511321
Amber Russell	295608953	Vila Franca de Xira	994164059
William Wright	244500165	Horta	920465868
Becky Hunter	253362398	Meda	980985465
Kevin Cruz	257655203	Queluz	977082330
James Hanson	251710621	Sao Mamede de Infesta	950239214
John Johnson	276861096	Gandra	940642446
Christina Taylor	257557014	Oliveira do Bairro	998726598
Crystal Miranda	250285570	Seia	951156147
Wayne Allen	254609627	Porto	946016882
Sierra Estes	290222780	Abrantes	986232867
Joshua Spence	264481897	Penafiel	903083345
Keith Herrera	240281099	Portimao	966944203
Wayne Caldwell	271054799	Montijo	941753283
Sean Smith	261034846	Rio Tinto	936015476
Ashley Thompson	244989295	Marco de Canaveses	941530126
Jim Patrick	205025045	Peniche	911334099
Donald Vance	217454611	Fiaes	940716581
Amber Smith	217364099	Marco de Canaveses	909756019
Sabrina Bowen	215241604	Fundao	929157828
Dana Reed	220373539	Castelo Branco	940357096
Johnny Smith	207092412	Loures	985555520
Nicole Pollard	293109892	Chaves	957772359
Lynn Scott	249285973	Lagoa	978949560
Nicholas Dixon	235347459	Portimao	904565244
David Barnett	254682070	Lixa	941701557
James Robbins	217425593	Viseu	975943535
John Mccarty	247263708	Almeirim	984630144
Robert Lee	201825224	Cartaxo	959906250
Cody Garrett	278714230	Ponta Delgada	986163446
Jordan Burton	258178720	Torres Novas	951107666
Kathryn Ball	274828027	Figueira da Foz	918763554
Sonya Harris	283174053	Cartaxo	983456112
Vincent Lin	268848970	Rebordosa	965794343
Emily Mcdonald	281595481	Ribeira Grande	924405189
Brian Wheeler	226416183	Estremoz	972438446
Robert Murphy	287776873	Marinha Grande	947143643
Kimberly George DVM	257100300	Funchal	974340314
Ryan Baker	287272975	Amarante	938861267
Shari Beasley	278759404	Tarouca	985380862
Carl Mejia	245270513	Anadia	940886978
Joshua Dennis	257991810	Santana	920295536
Benjamin Watson	201469229	Viana do Castelo	912099299
Patrick Weber	204622477	Torres Vedras	971065486
Sabrina Vasquez	204793807	Miranda do Douro / Miranda de l Douro	921523188
Frank Leach	226732889	Lagos	978202540
John Clark	276976084	Gondomar	916833764
David Collins	215506435	Silves	988693518
Dalton Tate	297990002	Oliveira do Bairro	901926754
Adam Watkins	200355999	Tondela	999073500
Shannon Carpenter	289024955	Fundao	936694059
Scott Young	200119169	Ribeira Grande	916610882
Kristen Chen	272507462	Santo Tirso	927155613
Joshua Patterson	227855344	Meda	959847975
Nicholas Kirk	205581000	ilhavo	932300597
Daniel Figueroa	220265189	Vila Nova de Santo Andre	972509268
Grace Moon	249863853	agueda	926992278
Tracy Alvarez	271428159	Leiria	981279716
Barbara Poole	228137656	Gandra	917107061
Danielle Willis	248712257	Costa da Caparica	951470204
Amber Wilson	210482639	Vizela	966897007
Erin Johnson	256884415	Rio Tinto	933088485
Heather Dominguez	224716443	Braganca	908529170
Mrs. Sarah Blair	222781436	Sao Pedro do Sul	906070606
Jacqueline Thomas	255169963	Praia da Vitoria	986077870
Thomas Wolf	282800372	Viana do Castelo	963020900
Kelly Leach	274888087	Barreiro	997724957
Michael Alvarez	284726546	Povoa de Varzim	992580701
Sean Garcia	216520058	Marinha Grande	930753157
Mark Shelton	216329561	Rebordosa	975300002
Tracy Sawyer	246348495	Chaves	946213508
Andrew Navarro	254058135	Felgueiras	995229509
Samuel Wells	285687567	Guarda	912925294
Michael Hammond	284129400	Chaves	975632014
Phillip Hill	247222496	Porto	974829710
Melanie Rhodes	205737935	Chaves	933506020
Edward Spence	204579375	Lourosa	946225884
Frederick Morales	241983929	Montijo	901904542
Erin Garcia	285664237	Fafe	910816973
Isabella Grant	217778269	Lisboa	977792176
Diane Wiggins	282908063	Castelo Branco	994024113
Robert Frazier	286433042	Beja	970589153
Leah Williams	228621896	Sines	952003702
Jesse Johnson	270214293	Loures	940207311
Mark Hopkins	277067948	Sines	912579512
Janice Castillo	276507454	Serpa	953052061
Thomas Stevens	223696477	Cartaxo	954138963
Laura Benson	219290679	Montijo	971899992
Cindy Hunter	280052731	Serpa	910237509
Michael Nichols	260162411	Valpacos	945581836
Lindsey Shaw	286713981	Queluz	970796632
Christina Howell	282104064	Sacavem	918589944
William Willis	273008270	Valongo	998405243
Kimberly Cook	254198827	Tarouca	995482435
Chelsey Rivera	219143289	Vale de Cambra	926918915
James Hernandez	201230099	Esposende	913349465
Michael Lozano	257609108	Santa Comba Dao	948600093
Jason Anderson	210313704	Loule	943609171
Justin Guzman	222848133	Seixal	973222443
Katherine Johnson DDS	279986859	Lagoa	929865956
Steven Harris	283157745	Lagos	913359532
Justin Robinson	278942431	Gouveia	993811392
Jaime Clarke	299116706	Santa Comba Dao	929523833
Dennis Levy	246439826	Barcelos	952844930
